RTX4090性能分析：这显卡太强了！,BV1NV4y1L7qi,"先去看架构解析：BV1W8411W7aM
刚推出的旗舰显卡RTX4090已经强到连i9 12900K都带不动啦！那么他在各种游戏里表现如何呢？比3090Ti能快多少呢？功耗高不高呢？还有刚推出的DLSS3补帧黑科技效果又如何呢？这期视频全部...",165.3万,2022-10-12,极客湾Geekerwan
厂商逆天要求 一张4090套提30张卡 显卡出货量暴跌 11月23日显卡价格及数码资讯,BV1BR4y1o7xo,-,2.2万,2022-11-23,琳琅长空
RTX4090 显卡，不仅仅很大。还很白哦！纯白装机方案全过程！,BV1jG4y1Z7kp,,11.2万,2022-11-21,广州搞机电脑组装DIY
无敌！只要一张显卡的价格给你整机！4090又来啦~！,BV1oK411d7JJ,,1400,2022-11-23,半吨云评测
RTX 4080 对比 RTX 4090，10款游戏下究竟差多少帧？「超极氪」,BV1cY411Z7VF,"测试平台：
CPU：Intel i9-13900K
主板：玩家国度ROG MAXIMUS Z790 HERO
显卡：0202RTX02408002Vulcan02火神02OC
索泰02RTX02409002AMP02Extreme02AIRO
散热器：玩家国度R...",4.7万,2022-11-22,超极氪
离谱！偷偷花一万多给男友买了4090…他看到居然想退货？,BV13G4y1d7Ek,等4090到了！我再发！,60.8万,2022-11-22,盖里老哥
4090  VS 3090ti  降维打击！！！,BV1Mg411v7dH,"https://www.youtube.com/watch?v=qQRmdStFKgU&amp;amp;t=205s&amp;amp;ab_channel=MikeBenchmark
个人观点：可信度最多不超10%，看看就好。",43.4万,2022-10-05,万一有只羊
绝地求生 : RTX 4090 24GB ( 4K 超高画质 ),BV1gg411B75x,"https://www.youtube.com/watch?v=GnI_8tlo_YM
绝地求生 RTX 409002

运行信息显示：微星小飞机
PC配置:
61 CPU : Intel CORE I5-12600K https://s.cl...",23.2万,2022-11-10,游戏-不止
RTX4080 4090显卡要崩盘的前兆来了 大家可以提前下山买除显卡以外的配件的解释回复来啦，大家不要只看标题看完整视频,BV1dM411r7d7,感谢支持废话蔡的大家。简单点，交个朋友。,1.6万,2022-11-21,蔡蔡梦想电脑俱乐部
13900K+4090水神，好大，真的好大！,BV1LD4y1k7KM,,41.0万,2022-10-26,重庆IT超市
RTX 4080 16G vs RTX 4090 24G  显卡对比（4K分辨率测试，CPU为i9-13900K） 4K 60帧视频,BV1c14y1p7Jh,"转载自 https://www.youtube.com/shorts/3TmLoGCT_uY
Win10 Pro
i9-13900K
ASUS ROG Strix Z790-E Gaming
2x16G DDR5 6000MHz CL38
...",1571,2022-11-23,织田QJ
xQc展示新买的RTX 4090,BV1MM411r7WH,https://www.twitch.tv/xqc,1.7万,2022-11-23,PepeLaugh777
我在想有没有什么游戏让4090显卡玩起来都卡的，应该没有吧,BV1aW4y1E7Td,,10.1万,2022-10-26,杨不帆
i9-9900K（2018年） vs i3-13900K（2022年） CPU对比（1080P分辨率测试，显卡为RTX 4090）,BV1ZW4y1W7q7,"转载自 https://www.youtube.com/watch?v=GlyhINsY-S4
Win10 Pro
i9-9900K
Asus ROG Strix Z390-F Gaming
2x16G DDR4 3800Mhz
i9-13...",3601,2022-11-23,织田QJ
只要15499元！真实用户装机4090，血赚还是割韭菜？,BV1kN4y1c7dz,来，大家看看这是什么？刚刚发布的最强旗舰显卡，4090，我到手了，在这寒冷的季节里，它即将为我的卧室增添一点点温暖。当然，这份温暖也离不开众多好事者的鞭策。,11.6万,2022-10-13,狙击手麦克
RTX4090星耀搭配白色方案？有点大哦,BV1Rd4y147qm,"视频结尾有配置单
你觉得还是矿吗？",2769,2022-11-22,广州DIY组装电脑
我人麻了，首发入的4090，买回来先吃灰一个月,BV1qe4y1m7X2,我裂开了,13.9万,2022-10-16,夜语喵
RTX 4090挑战13K分辨率原神，每帧1.8亿像素，卡皇也跪了,BV1684y1i7Ko,"配置：
i7-10700KF
Asus Prime Z490-P
64GB Corsair Vengeance LPX DDR4-3200
MSI GeForce RTX 4090 GAMING X TRIO 24G
Samsung SSD...",7.2万,2022-10-31,金毛评测犬
RTX4090 vs RTX3090Ti vs RTX2080Ti三代卡皇游戏性能对比,BV19m4y1c71Q,原视频:https://youtu.be/y7K_Eb2-jAg,9.7万,2022-10-18,QionQiong
4090从24999到12999 即将恢复供应 英伟达线人描述黄牛哭了！玩家都在等待后续40系显卡,BV1rW4y1s7vg,因上稿件被封重新发布的,2.9万,2022-11-14,我的DIY之路
