《原神》角色演示-「钟离：听书人」,BV1hD4y1X7Rm,"《璃月春秋》散场之后，听书人站在绘有山河的画屏前，不知是否在期待昔日的回响。
但屏风上的图画只会沉默，因为那已是三千年前的往事了。

CV：
钟离――彭博
田铁嘴――许棕哲

《原神》bilibili服下载地址：
http://www.bi...",4532.9万,2020-11-30,原神
《原神》剧情PV-「神女劈观」,BV1kS4y1T7kK,"道仙缘奇谈，物是人非，疏却千丝怨愁。
歌巾帼英姿，再添新话，重入万家灯火。

CV：
云堇念白&amp;amp;唱段――杨扬

《原神》bilibili服下载地址：
https://www.biligame.com/detail/?id=10349...",2793.2万,2022-01-06,原神
胡桃单曲《嗷》,BV1Dp4y1H7RE,"新的胡桃单曲，bgm是自制的，中间做了段木偶动画
月初开始做的，做到现在胡桃池子都快结束了
喜欢记得三连嗷",2689.1万,2021-03-14,哦呼w
【原神拜年纪】让风告诉你,BV18X4y1N7Yh,"演唱：
可莉――花玲
温迪――喵☆酱
七七――宴宁ccccc
魈――kinsen

画师：-黑鹿原-、Kurattes

词曲/制作人：ChiliChill
编曲：ChiliChill
贝斯：冯子明、山口M也
长笛：Salit Lahav
...",2440.2万,2021-02-06,YuH_ChiliChill
原神剧情合集一期（1.0至2.8）3.2剧情移至BV1pB4y1x7wC,BV1Dt4y1S7tG,会加快更新的,2088.3万,2020-09-15,泛音1572
呜呜，这也太可爱了吧！胡桃摇玩具终于来了！,BV1mf4y1F7vk,"BGM是神奇阿呦的片尾曲《我和你》的dj版，原版也很好听，整活所以用的dj版。
胡桃摇原版gif作者是twitter的acomu414。",2035.6万,2021-10-03,机智的Kason
【原神】3.0须弥大世界任务解谜/副本开启 合集（已完结）,BV1x14y1x7QX,"封面制作：@蝉鸣时  
地图工具：https://yuanshen.site/",1964.5万,2022-08-24,莴苣某人
《原神・提瓦特篇》幕间PV-「冬夜愚戏」,BV1mB4y1e7Lh,"距离上一次召集全部的愚人众执行官，已不知过去多久。
戴着面具的人们在这冬夜里歌唱、喧闹，尔后静思、哀悼。
至此，殿中才与极冬的天空一起，归于近乎无限的沉寂。

而在远方的须弥，似乎已经很久没有做过梦的柯莱，却在午间小憩之时见到了诡异的画面…...",1954.7万,2022-07-11,原神
《原神》角色演示-「雷电将军：净土裁断」,BV1kb4y1m7e7,"「昔日多情的樱花，如今已作墨色。待到雷声沉郁的寂然之刻，方晓渺渺泡影之梦将觉。」

中文CV：
雷电将军――菊花花
八重神子――杜冥鸦

日文CV：
雷电将军――泽城美雪
八重神子――佐仓绫音

（观看提醒：本视频可能会引发光敏性癫痫患者的...",1931.6万,2021-08-31,原神
真有这么好听？,BV1Wy4y1i7AL,"音频做了半个多月，真的难，视频素材大部分是自己录的。
喜欢记得三连嗷。
感谢疯猴在编曲上的帮助。",1818.0万,2020-12-19,哦呼w
【原神】3.0须弥宝箱全收集（成就数572）,BV1iG4y1r7Mt,"封面制作：@蝉鸣时  
地图工具：https://yuanshen.site/",1814.9万,2022-08-25,莴苣某人
【原神】2.8限时世界任务解谜合集 （已完结）,BV1nN4y1T7Tp,"2.8宝箱收集：BV1Me4y1d7sH
2.8海螺收集：BV17a411H7TJ

封面制作：@蝉鸣时",1787.0万,2022-07-16,莴苣某人
一刀封神！万叶挡住雷神一刀！总会有地上的生灵，敢于直面雷霆的威光！,BV1Bq4y1T7N4,"总会有地上的生灵，敢于直面雷霆的威光
那一刀，未必无法企及

关注是我最大的动力
【视频素材】：原神官方视频
【音乐素材】：晚夜微雨问海棠-镜予歌 / 陈亦 / 喧笑",1674.4万,2021-09-02,小x文
【原神】2.8金苹果群岛宝箱全收集 （已重制共182+1个水钱箱）,BV1Me4y1d7sH,"2.8世界任务：BV1nN4y1T7Tp
2.8海螺收集：BV17a411H7TJ

封面制作：@蝉鸣时  
地图工具：https://yuanshen.site/",1629.7万,2022-07-15,莴苣某人
《原神・提瓦特篇》主线章节预告PV-「足迹」,BV1At4y1q7UQ,"【Prologue.捕风的异乡人】-【I.辞行久远之躯】-【II.千手百眼天下人间】
【III.虚空劫灰往世书】-【IV.罪人舞步旋】-【V.炽烈的还魂诗】-【VI.无神怜爱的雪国】

PV出场角色：

蒙德之章 迪卢克
璃月之章 凝光
稻...",1626.1万,2020-09-28,原神
《原神》角色演示-「可莉：哒哒哒」,BV18D4y1d7Uz,"「你刚才说 『哒哒哒』了吧！」
――琴・古恩希尔德

CV：
可莉――花玲
琴――林簌

《原神》bilibili服下载地址：http://www.biligame.com/detail/?id=103496",1602.8万,2020-10-19,原神
【原神】耗时2个月，良心巨制！全角色武器圣遗物配装+天赋加点攻略丨荧火攻略组,BV1bV411s7yq,"荧火攻略组制作《原神全角色玩法介绍+武器圣遗物搭配+天赋加点攻略》
攻略组小伙伴从着手准备到制作完成花了近2个月！
花了多少心思，大家看了就会知道！
求一波关注 点赞 硬币 收藏支持一下！大家的三连是对攻略组最大的支持~
后续(每个版本)还...",1582.2万,2021-06-20,赫箩的苹果
【原神】宝箱全收集！2.0稻妻篇  (成就数358）,BV1Uq4y1W7K5,稻妻地图很复杂！攻略加速生成中！,1555.3万,2021-07-21,莴苣某人
原神岩神瞳位置大全！130个岩神瞳一集视频一个神瞳~【啊滨】,BV1vp4y1a7Ea,"岩神瞳130个终于找完了！！！！！ 我手指都痛了哈哈哈~~
原神岩神瞳位置大全，找到神瞳后一定要记得标记！！！！！
从图片看你自己少了那个位置的，就去看那一集的视频
所以~~~接下来做什么？",1541.0万,2020-09-19,疯子啊滨
就 你 整 天 呐 呐 呐 呐 哦 哦 哦 ~,BV1BN411X7fe,"感谢聪明美丽大方可爱的审核大大！！！！！！

素材：原神官方pv
BGM：Lose Control-Hedley
主要角色：安柏，阿贝多，公子，刻晴，凝光，北斗，魈，迪卢克，温迪，丽莎，香菱，行秋，钟离，重云，砂糖，甘雨，萤妹，辛焱，女仆，...",1484.3万,2021-02-18,阿鱼Au_lishan
