lol玩家快进来看一眼吧！！！！,BV1vG4y1V7bv,鹅厂快看看吧，别恶心我了。有脚本我还能接受，你这玩意一个超级防御塔？恶心我呢？,1497,2022-11-23,98C祁七阳
【Uzi】原神好占内存！LOL变得好卡！弹幕：LOL卸了！乌兹：真要卸了，谁让原神把你变卡呢！,BV1zK411d7DL,"澡酱趣事天天更新，乌兹粉丝的乐园！！
Uzi直播间：https://live.bilibili.com/555
【Uzi】原神好占内存！LOL变得好卡！弹幕：LOL卸了！乌兹：真要卸了，谁让原神把你变卡呢！",6508,2022-11-23,澡酱的日常
LOL手游：已经没有刚开服时候的那种激情了,BV1jD4y1e792,4群：792740166,8382,2022-11-23,主播莫小邪
LOL新皮肤“受气包-尔扎哈”？,BV1HD4y1e7vc,"你LOL拿到这个忍气吞声证了吗，还会奖励一个“受气包-尔扎哈”？
段子娱乐搞笑，请大家不要当真哦！！！",2.2万,2022-11-23,贾克斯聊段子-尬笑哥
lol最高护甲：2万亿护甲！千变者贾修的隐藏实力！,BV1324y117cw,看看封面，告诉我这个护甲是几位数！！（玩石头人遇到土龙魂一定记得出贾修+石像鬼板甲）,108.6万,2022-11-20,布锅锅
【lol手游】鱼人进野区 野区有低保 如鱼得水,BV1gK411o78K,点赞过1000火速更新下一期,6218,2022-11-23,尘民10086
英雄联盟小白修炼成菜糯，第123天100级，奖励自己一把定位赛！,BV17P4y1R7gg,"英雄联盟好玩好玩，好费脑好费手，好费键盘好费鼠标。
但为什么我的QWER,就只有WE键被磨没了，这说明了什么。。。。。。
你们呢？你们呢？你们得QWER还健在么？
点赞投币收藏支持一下阿糯吧兄弟姐妹们，动力满满每一天。",934,2022-11-23,劝⑴
lol要凉？世界第一电竞游戏！！,BV1aW4y1s7iY,英雄联盟,20.9万,2022-11-14,AZ也不知道他在干啥莫
辅 助 现 状【LOL小剧场】,BV1jY411Z7jx,辅助真难,103.2万,2022-11-11,迅捷画手Trollya
LOL：新英雄亚菲利欧曝光，是刺客和ADC的合体，可用12种武器攻击,BV1K14y1H7ig,LOL：新英雄亚菲利欧曝光，是刺客和ADC的合体，可用12种武器攻击,24.1万,2022-11-15,PDD解说LOL英雄联盟
LOL史上最冷门英雄诞生，登场率为0%，韩服官方直接将其除名！,BV1xL411K765,史上最冷门英雄，登场率为0被官方除名,131.1万,2022-02-20,lol每日趣事
LOL最佳盘点：T1未来的希望！S12赛季oner五大精彩操作，下一年，他会变得更强,BV12G4y1V73E,"相关游戏：英雄联盟
简介补充：oner作为现如今T1的打野，虽然今年只拿到了亚军，但是他的努力和实力我们是可以看到的，从世界赛开始风格的改变为T1牺牲了很多，相信来年oner选手适应了打法后一定会更加强大，所以今天咱们就一起来回顾一下，on...",1.3万,2022-11-23,呆梦demo
“爱你老妈，明天见。MUA~”【LOL动画】,BV1da411a7pc,"祝天下的老妈永远开心健康年轻美丽~


1",158.6万,2022-05-07,峡谷开饭了
英雄联盟官方！赶快合区吧！,BV1CD4y1s7sr,,26.8万,2022-11-22,一只辣鸡解说
在？进来上个分。LOL走位训练。,BV1Dy4y1U7Cb,新年快乐！在新的一年 成为更强的召唤师吧,194.4万,2021-01-01,风萦花落
【泽元日记】心之钢！你是要拯救英雄联盟吗？,BV1LG4y1d7Ah,xdm 今天你们打铁了么,61.5万,2022-11-22,管泽元
LOL手游:23年世界赛确定取消，冠军皮肤恐成绝唱,BV18G4y1d7PQ,粉丝群:52334264,2.5万,2022-11-22,主播莫小邪
lol最骚套路，辅助靠工资装怒赚3000块，双C看了都得跪！【彩虹之味】,BV11a411Z7iZ,"大家好欢迎来到彩虹之味的官方频道，在这里你可以看到最新最好玩的奇葩LOL套路和超有趣的玩法！
最强理财
有些你可能已经知道，有些可能会让你大吃一惊！关注我们！了解这个游戏的另一面吧，谢谢大家！",32.6万,2022-08-03,彩虹之味官方账号
英雄可以受委屈...【LOL动画】,BV1CG4y1f72T,更新啦 更新啦~,39.5万,2022-11-11,峡谷开饭了
LOL：如果英雄会假动作骗闪，那这三款皮肤就是其中的王者！,BV1X14y1a7kH,-,25.6万,2022-09-15,联盟资讯语录
