【动漫人物志】无声的雪花丨长门有希丨携着“我爱你”的意义，继续踏上旅途。,BV1S24y127yh,"本期是长门有希的生贺作品也是“京后有你”创作盛典的投稿作品。
长门有希这个人物对我来说有特别的意义，甚至因为这个人物。我对雪也拥有了特别的感情。
所以本期充斥着大量的小作文和我的主观情感，不知道大家能不能接受。
如有批评和改正的地方也请手下...",2865,2022-11-18,牧野枫缘
“都市の隅にLれている”--【LT有希】x《sister&amp;#39;s noise》【凉宫春日的消失】,BV1W84y1C7xc,"歌名:《sister&amp;#39;s noise(心的呼唤)》
「某科学的超电磁炮S主题曲」
素材:《凉宫春日的消失》
「长门大萌神」
= =",4,2022-11-23,John_Smithhh
长门有希的心跳挑战――三无少女的大萌神,BV1Q24y117WZ,,98,2022-11-22,吴知字有畏
【京阿尼人物志28】长门有希――沉默寡言的观测者,BV1rF411w7Uc,"长门有希，出自京都动画系列作品《凉宫春日的忧郁》
sos团不可缺少的寡言角色，沉默的外表下拥有一颗火热的心
本期视频为京阿尼人物志第二十八期
第一期：小鸟游六花02av80097461
第二期：折木奉太郎02av84084743
第三期：栗山未...",1.3万,2022-08-14,京阿尼语料
万字解说《凉宫春日的消失》纯干货影评，凉宫系列封神之作，长门有希深情告白。,BV1gY4y1i7PE,,7.6万,2022-04-06,小象漫谈
【45min／雨声】长门有希一直在看书,BV1e94y1R7NT,"素材来源：
凉宫春日的忧郁  2009
第二十八话

看到这集就觉得很适合做这个学习向视频呢
|11ω11｀)",8054,2022-07-05,爱喝咖啡的甘乐
【MAD】雪，无音，窗边落下（长门有希）,BV1rx411w7db,"自制 第六回春秋合战主站视频：av1829711
春秋合战主页：http://sprau.madplus.org/ 备用地址：http://27.34.161.177/sprau/ 
向百舌谷大大致敬的，顺便期待一下今年四月的小长门。",11.5万,2015-01-02,恋の镇魂曲
【长门有希/ヨルシカ 】就算翻遍整个宇宙，我也一定会把你找出来,BV1hR4y1977y,"BGM：ヨルシカ (Yorushika)-チノカテ
当你说出yuki的时候，你没有看我，我没有看雪。",3255,2022-10-07,南宫安筱
【AMV】长门有希正吞食清风,BV19F411c7oT,"使用素材：凉宫春日的忧郁，凉宫春日的消失
bgm：ヨルシカ - Lを食む
有点赶了，技术力不足，重在参与吧...
----------------------------------------
丨我觉得你不带眼镜更可爱,毕竟我不萌眼镜属性...",6914,2022-08-11,黎水同学
【10分钟耐久】长门有希只是在普通的摇鼠标,BV1bU4y1u7s5,"BGM：いつもの风景
长门有希只是在普通的摇鼠标而已
Q版长门出自 凉宫DTA 桌宠 特典小册子",1.6万,2021-11-20,凉宫春日情报站
长门有希60s挑战,BV1sX4y1578S,长门大明神与有希大萌神都要！！！,577,2021-02-18,火之鹰
【近年外网优质凉宫MAD】仅属于长门有希的15532次暑假「Endlessness」,BV1RA4y1U7ix,"https://youtu.be/Uqu3RX0KiVk
200530
原标题名：ある雨の日 - The Endlessness of Nagato Yuki -『mハルヒのndMAD』
原作者：TheCynicClinic
bgm：ある...",3.2万,2022-05-07,凉宫春日情报站
【短发狂魔】长门有希 剪辑素材坐标导航《凉宫春日的忧郁2009》,BV1v84y1B7pD,"为了让更多人更快速的获取到剪辑素材坐标
（也是为了让自己喜欢的角色的混剪多起来而助力）",1823,2022-10-27,m了
&amp;quot;2202年了，你还会为长门有希而感动吗？&amp;quot;,BV1hN4y1F7Hz,我永远喜欢长门有希，这段日子迷惘又黑暗，撑过去了会有下一个黑暗的日子等着你，谢谢有希陪着我，我永远爱你，智慧与美貌并存，温柔且不失刚毅，这就是我的老婆有希,3097,2022-08-21,御坂克隆实验体
长门有希人物志--温柔与坚强，改变与责任,BV1iX4y157mP,"文案：长门大萌神，四十二目目，叶笛
剪辑：长门大萌神
配音：宫音雾枝_Kirie
策划：比尔不喝牛奶",1.2万,2021-02-14,凉宫春日应援团
长门有希的失恋,BV1ws41167dU,自制 快四年前的东西了吧……个人一直觉得蛮有趣，但是当时没人看，所以这次重新炒了个蛋炒饭发出来，算是重新剪辑了一遍，2P是实习小伙伴剪辑的版本，3P是最早的原版。,4.0万,2016-04-23,橙心社
【长门有希角色歌/CV:茅原实里】雪、o音、xにて。LIVE现场版,BV1Tt411k7Zx,"长门有希角色歌/CV:茅原实里：雪、o音、xにて。
特别有感觉的LIVE现场！",7962,2018-12-29,北瓜好辣
如果长门有希搭载了英特尔酷睿2的话…,BV1kS4y1Y7eD,"https://youtu.be/EqKGVBdJ6RU
b站有一个不太清晰的，我自己扒了一个稍微清晰一点的。
：やはりあれが必要のようね。",3.1万,2022-04-13,球球了让我离职吧
长门有希的安全模式,BV1bx411c7T9,安全就是指做什么都会安全~~~~中文字幕，如果觉得内容无法入目的话，就听音乐吧（微笑）,7907,2010-06-18,一字文
【LT有希】きゅうくらりん（手书）,BV19L4y1A7Js,"本家：きゅうくらりん(いよわ) sm39257413 BV1MQ4y1a7JY

因为最近又看了一遍凉宫春日的消失
遂心血来潮熬夜两天做完的粗糙作品
（因为感觉一停下就会放着鸽掉了）
结尾的部分感觉还蛮不错的，可以的话请看到最后吧orz",1.8万,2022-06-23,泄气战士
